,full_name,party,number,chamber,DOB,first_name,method,proportion_male,proportion_female,predicted_gender
53,"VARE, William Scott",Republican,69,house,1867.0,William,ipums,0.9981,0.0019,M
54,"AYRES, William Augustus",Democrat,70,house,1867.0,William,ipums,0.9981,0.0019,M
55,"OLIVER, William Bacon",Democrat,70,house,1867.0,William,ipums,0.9981,0.0019,M
56,"SPROUL, William Henry",Republican,70,house,1867.0,William,ipums,0.9981,0.0019,M
57,"AYRES, William Augustus",Democrat,71,house,1867.0,William,ipums,0.9981,0.0019,M
58,"OLIVER, William Bacon",Democrat,71,house,1867.0,William,ipums,0.9981,0.0019,M
59,"SPROUL, William Henry",Republican,71,house,1867.0,William,ipums,0.9981,0.0019,M
60,"AYRES, William Augustus",Democrat,72,house,1867.0,William,ipums,0.9981,0.0019,M
61,"OLIVER, William Bacon",Democrat,72,house,1867.0,William,ipums,0.9981,0.0019,M
62,"AYRES, William Augustus",Democrat,73,house,1867.0,William,ipums,0.9981,0.0019,M
63,"HIGGINS, William Lincoln",Republican,73,house,1867.0,William,ipums,0.9981,0.0019,M
64,"OLIVER, William Bacon",Democrat,73,house,1867.0,William,ipums,0.9981,0.0019,M
65,"ASHBROOK, William Albert",Democrat,74,house,1867.0,William,ipums,0.9981,0.0019,M
66,"HIGGINS, William Lincoln",Republican,74,house,1867.0,William,ipums,0.9981,0.0019,M
67,"OLIVER, William Bacon",Democrat,74,house,1867.0,William,ipums,0.9981,0.0019,M
68,"ASHBROOK, William Albert",Democrat,75,house,1867.0,William,ipums,0.9981,0.0019,M
69,"ASHBROOK, William Albert",Democrat,76,house,1867.0,William,ipums,0.9981,0.0019,M
70,"ASWELL, James Benjamin",Democrat,65,house,1869.0,James,ipums,0.9976,0.0024,M
71,"HEFLIN, James Thomas",Democrat,65,house,1869.0,James,ipums,0.9976,0.0024,M
72,"ASWELL, James Benjamin",Democrat,66,house,1869.0,James,ipums,0.9976,0.0024,M
73,"HEFLIN, James Thomas",Democrat,66,senate,1869.0,James,ipums,0.9976,0.0024,M
74,"ASWELL, James Benjamin",Democrat,67,house,1869.0,James,ipums,0.9976,0.0024,M
75,"HEFLIN, James Thomas",Democrat,67,senate,1869.0,James,ipums,0.9976,0.0024,M
76,"ASWELL, James Benjamin",Democrat,68,house,1869.0,James,ipums,0.9976,0.0024,M
77,"HEFLIN, James Thomas",Democrat,68,senate,1869.0,James,ipums,0.9976,0.0024,M
78,"ASWELL, James Benjamin",Democrat,69,house,1869.0,James,ipums,0.9976,0.0024,M
79,"HEFLIN, James Thomas",Democrat,69,senate,1869.0,James,ipums,0.9976,0.0024,M
80,"ASWELL, James Benjamin",Democrat,70,house,1869.0,James,ipums,0.9976,0.0024,M
81,"FITZPATRICK, James Martin",Democrat,70,house,1869.0,James,ipums,0.9976,0.0024,M
82,"HEFLIN, James Thomas",Democrat,70,senate,1869.0,James,ipums,0.9976,0.0024,M
83,"ASWELL, James Benjamin",Democrat,71,house,1869.0,James,ipums,0.9976,0.0024,M
84,"FITZPATRICK, James Martin",Democrat,71,house,1869.0,James,ipums,0.9976,0.0024,M
85,"HEFLIN, James Thomas",Democrat,71,senate,1869.0,James,ipums,0.9976,0.0024,M
86,"ASWELL, James Benjamin",Democrat,72,house,1869.0,James,ipums,0.9976,0.0024,M
87,"FITZPATRICK, James Martin",Democrat,72,house,1869.0,James,ipums,0.9976,0.0024,M
88,"FITZPATRICK, James Martin",Democrat,73,house,1869.0,James,ipums,0.9976,0.0024,M
89,"GILLESPIE, James Frank",Democrat,73,house,1869.0,James,ipums,0.9976,0.0024,M
90,"FITZPATRICK, James Martin",Democrat,74,house,1869.0,James,ipums,0.9976,0.0024,M
91,"FITZPATRICK, James Martin",Democrat,75,house,1869.0,James,ipums,0.9976,0.0024,M
92,"FITZPATRICK, James Martin",Democrat,76,house,1869.0,James,ipums,0.9976,0.0024,M
93,"FITZPATRICK, James Martin",Democrat,77,house,1869.0,James,ipums,0.9976,0.0024,M
94,"FITZPATRICK, James Martin",Democrat,78,house,1869.0,James,ipums,0.9976,0.0024,M
95,"GALLAGHER, James A.",Republican,78,house,1869.0,James,ipums,0.9976,0.0024,M
96,"GALLAGHER, James A.",Republican,80,house,1869.0,James,ipums,0.9976,0.0024,M
97,"AUSTIN, Richard Wilson",Republican,65,house,1857.0,Richard,ipums,1.0,0.0,M
98,"BACHARACH, Isaac",Republican,65,house,1870.0,Isaac,ipums,1.0,0.0,M
99,"BACHARACH, Isaac",Republican,66,house,1870.0,Isaac,ipums,1.0,0.0,M
100,"BACHARACH, Isaac",Republican,67,house,1870.0,Isaac,ipums,1.0,0.0,M
101,"BACHARACH, Isaac",Republican,68,house,1870.0,Isaac,ipums,1.0,0.0,M
102,"BACHARACH, Isaac",Republican,69,house,1870.0,Isaac,ipums,1.0,0.0,M
103,"BACHARACH, Isaac",Republican,70,house,1870.0,Isaac,ipums,1.0,0.0,M
104,"BACHARACH, Isaac",Republican,71,house,1870.0,Isaac,ipums,1.0,0.0,M
105,"BACHARACH, Isaac",Republican,72,house,1870.0,Isaac,ipums,1.0,0.0,M
106,"BACHARACH, Isaac",Republican,73,house,1870.0,Isaac,ipums,1.0,0.0,M
107,"BACHARACH, Isaac",Republican,74,house,1870.0,Isaac,ipums,1.0,0.0,M
108,"BACON, Mark Reeves",Republican,65,house,1852.0,Mark,ipums,0.9878,0.0122,M
109,"BAER, John Miller",Republican,65,house,1886.0,John,ipums,0.9972,0.0028,M
110,"BAER, John Miller",Republican,66,house,1886.0,John,ipums,0.9972,0.0028,M
111,"RAY, John Henry",Republican,83,house,1886.0,John,ipums,0.9972,0.0028,M
112,"RAY, John Henry",Republican,84,house,1886.0,John,ipums,0.9972,0.0028,M
113,"RAY, John Henry",Republican,85,house,1886.0,John,ipums,0.9972,0.0028,M
114,"RAY, John Henry",Republican,86,house,1886.0,John,ipums,0.9972,0.0028,M
115,"RAY, John Henry",Republican,87,house,1886.0,John,ipums,0.9972,0.0028,M
116,"BANKHEAD, William Brockman",Democrat,65,house,1874.0,William,ipums,0.9990000000000001,0.001,M
117,"FIELDS, William Jason",Democrat,65,house,1874.0,William,ipums,0.9990000000000001,0.001,M
118,"OLDFIELD, William Allan",Democrat,65,house,1874.0,William,ipums,0.9990000000000001,0.001,M
119,"SEARS, William Joseph",Democrat,65,house,1874.0,William,ipums,0.9990000000000001,0.001,M
120,"BANKHEAD, William Brockman",Democrat,66,house,1874.0,William,ipums,0.9990000000000001,0.001,M
121,"FIELDS, William Jason",Democrat,66,house,1874.0,William,ipums,0.9990000000000001,0.001,M
122,"OLDFIELD, William Allan",Democrat,66,house,1874.0,William,ipums,0.9990000000000001,0.001,M
123,"SEARS, William Joseph",Democrat,66,house,1874.0,William,ipums,0.9990000000000001,0.001,M
124,"BANKHEAD, William Brockman",Democrat,67,house,1874.0,William,ipums,0.9990000000000001,0.001,M
125,"FIELDS, William Jason",Democrat,67,house,1874.0,William,ipums,0.9990000000000001,0.001,M
126,"LOGAN, William Turner",Democrat,67,house,1874.0,William,ipums,0.9990000000000001,0.001,M
127,"OLDFIELD, William Allan",Democrat,67,house,1874.0,William,ipums,0.9990000000000001,0.001,M
128,"SEARS, William Joseph",Democrat,67,house,1874.0,William,ipums,0.9990000000000001,0.001,M
129,"BANKHEAD, William Brockman",Democrat,68,house,1874.0,William,ipums,0.9990000000000001,0.001,M
130,"FIELDS, William Jason",Democrat,68,house,1874.0,William,ipums,0.9990000000000001,0.001,M
131,"LOGAN, William Turner",Democrat,68,house,1874.0,William,ipums,0.9990000000000001,0.001,M
132,"OLDFIELD, William Allan",Democrat,68,house,1874.0,William,ipums,0.9990000000000001,0.001,M
133,"SEARS, William Joseph",Democrat,68,house,1874.0,William,ipums,0.9990000000000001,0.001,M
134,"BANKHEAD, William Brockman",Democrat,69,house,1874.0,William,ipums,0.9990000000000001,0.001,M
135,"OLDFIELD, William Allan",Democrat,69,house,1874.0,William,ipums,0.9990000000000001,0.001,M
136,"SEARS, William Joseph",Democrat,69,house,1874.0,William,ipums,0.9990000000000001,0.001,M
137,"BANKHEAD, William Brockman",Democrat,70,house,1874.0,William,ipums,0.9990000000000001,0.001,M
138,"COHEN, William Wolfe",Democrat,70,house,1874.0,William,ipums,0.9990000000000001,0.001,M
139,"OLDFIELD, William Allan",Democrat,70,house,1874.0,William,ipums,0.9990000000000001,0.001,M
140,"SEARS, William Joseph",Democrat,70,house,1874.0,William,ipums,0.9990000000000001,0.001,M
141,"BANKHEAD, William Brockman",Democrat,71,house,1874.0,William,ipums,0.9990000000000001,0.001,M
142,"NOLAN, William Ignatius",Republican,71,house,1874.0,William,ipums,0.9990000000000001,0.001,M
143,"BANKHEAD, William Brockman",Democrat,72,house,1874.0,William,ipums,0.9990000000000001,0.001,M
144,"NOLAN, William Ignatius",Republican,72,house,1874.0,William,ipums,0.9990000000000001,0.001,M
145,"BANKHEAD, William Brockman",Democrat,73,house,1874.0,William,ipums,0.9990000000000001,0.001,M
146,"SEARS, William Joseph",Democrat,73,house,1874.0,William,ipums,0.9990000000000001,0.001,M
147,"BANKHEAD, William Brockman",Democrat,74,house,1874.0,William,ipums,0.9990000000000001,0.001,M
148,"SEARS, William Joseph",Democrat,74,house,1874.0,William,ipums,0.9990000000000001,0.001,M
149,"BANKHEAD, William Brockman",Democrat,75,house,1874.0,William,ipums,0.9990000000000001,0.001,M
150,"BANKHEAD, William Brockman",Democrat,76,house,1874.0,William,ipums,0.9990000000000001,0.001,M
151,"BARKLEY, Alben William",Democrat,65,house,1877.0,Alben,ipums,1.0,0.0,M
152,"BARKLEY, Alben William",Democrat,66,house,1877.0,Alben,ipums,1.0,0.0,M
153,"BARKLEY, Alben William",Democrat,67,house,1877.0,Alben,ipums,1.0,0.0,M
154,"BARKLEY, Alben William",Democrat,68,house,1877.0,Alben,ipums,1.0,0.0,M
155,"BARKLEY, Alben William",Democrat,69,house,1877.0,Alben,ipums,1.0,0.0,M
156,"BARKLEY, Alben William",Democrat,70,senate,1877.0,Alben,ipums,1.0,0.0,M
157,"BARKLEY, Alben William",Democrat,71,senate,1877.0,Alben,ipums,1.0,0.0,M
158,"BARKLEY, Alben William",Democrat,72,senate,1877.0,Alben,ipums,1.0,0.0,M
159,"BARKLEY, Alben William",Democrat,73,senate,1877.0,Alben,ipums,1.0,0.0,M
160,"BARKLEY, Alben William",Democrat,74,senate,1877.0,Alben,ipums,1.0,0.0,M
161,"BARKLEY, Alben William",Democrat,75,senate,1877.0,Alben,ipums,1.0,0.0,M
162,"BARKLEY, Alben William",Democrat,76,senate,1877.0,Alben,ipums,1.0,0.0,M
163,"BARKLEY, Alben William",Democrat,77,senate,1877.0,Alben,ipums,1.0,0.0,M
164,"BARKLEY, Alben William",Democrat,78,senate,1877.0,Alben,ipums,1.0,0.0,M
165,"BARKLEY, Alben William",Democrat,79,senate,1877.0,Alben,ipums,1.0,0.0,M
166,"BARNHART, Henry A.",Democrat,65,house,1858.0,Henry,ipums,0.9994,0.0006,M
167,"BATHRICK, Elsworth Raymond",Democrat,65,house,1863.0,Elsworth,ipums,1.0,0.0,M
168,"BEAKES, Samuel Willard",Democrat,65,house,1861.0,Samuel,ipums,0.9993,0.0007,M
169,"SHORTRIDGE, Samuel Morgan",Republican,67,senate,1861.0,Samuel,ipums,0.9993,0.0007,M
170,"SHORTRIDGE, Samuel Morgan",Republican,68,senate,1861.0,Samuel,ipums,0.9993,0.0007,M
171,"SHORTRIDGE, Samuel Morgan",Republican,69,senate,1861.0,Samuel,ipums,0.9993,0.0007,M
172,"SHORTRIDGE, Samuel Morgan",Republican,70,senate,1861.0,Samuel,ipums,0.9993,0.0007,M
173,"SHORTRIDGE, Samuel Morgan",Republican,71,senate,1861.0,Samuel,ipums,0.9993,0.0007,M
174,"SHORTRIDGE, Samuel Morgan",Republican,72,senate,1861.0,Samuel,ipums,0.9993,0.0007,M
175,"BELL, Thomas Montgomery",Democrat,65,house,1861.0,Thomas,ipums,0.9994,0.0006,M
176,"BELL, Thomas Montgomery",Democrat,66,house,1861.0,Thomas,ipums,0.9994,0.0006,M
177,"BELL, Thomas Montgomery",Democrat,67,house,1861.0,Thomas,ipums,0.9994,0.0006,M
178,"BELL, Thomas Montgomery",Democrat,68,house,1861.0,Thomas,ipums,0.9994,0.0006,M
179,"BELL, Thomas Montgomery",Democrat,69,house,1861.0,Thomas,ipums,0.9994,0.0006,M
180,"BELL, Thomas Montgomery",Democrat,70,house,1861.0,Thomas,ipums,0.9994,0.0006,M
181,"BELL, Thomas Montgomery",Democrat,71,house,1861.0,Thomas,ipums,0.9994,0.0006,M
182,"BENSON, Carville Dickinson",Democrat,65,house,1872.0,Carville,ipums,,,
183,"BENSON, Carville Dickinson",Democrat,66,house,1872.0,Carville,ipums,,,
184,"BESHLIN, Earl Hanley",Democrat,65,house,1870.0,Earl,ipums,1.0,0.0,M
185,"BIRCH, William Fred",Republican,65,house,1870.0,William,ipums,0.9975,0.0025,M
186,"POLLOCK, William Pegues",Democrat,65,senate,1870.0,William,ipums,0.9975,0.0025,M
187,"BOWLING, William Bismarck",Democrat,66,house,1870.0,William,ipums,0.9975,0.0025,M
188,"BOWLING, William Bismarck",Democrat,67,house,1870.0,William,ipums,0.9975,0.0025,M
189,"MORGAN, William Mitchell",Republican,67,house,1870.0,William,ipums,0.9975,0.0025,M
190,"CROW, William Evans",Republican,67,senate,1870.0,William,ipums,0.9975,0.0025,M
191,"BOWLING, William Bismarck",Democrat,68,house,1870.0,William,ipums,0.9975,0.0025,M
192,"MORGAN, William Mitchell",Republican,68,house,1870.0,William,ipums,0.9975,0.0025,M
193,"WILSON, William Edward",Democrat,68,house,1870.0,William,ipums,0.9975,0.0025,M
194,"BOWLING, William Bismarck",Democrat,69,house,1870.0,William,ipums,0.9975,0.0025,M
195,"MORGAN, William Mitchell",Republican,69,house,1870.0,William,ipums,0.9975,0.0025,M
196,"BOWLING, William Bismarck",Democrat,70,house,1870.0,William,ipums,0.9975,0.0025,M
197,"MORGAN, William Mitchell",Republican,70,house,1870.0,William,ipums,0.9975,0.0025,M
198,"MORGAN, William Mitchell",Republican,71,house,1870.0,William,ipums,0.9975,0.0025,M
199,"LARRABEE, William Henry",Democrat,72,house,1870.0,William,ipums,0.9975,0.0025,M
200,"LARRABEE, William Henry",Democrat,73,house,1870.0,William,ipums,0.9975,0.0025,M
201,"LARRABEE, William Henry",Democrat,74,house,1870.0,William,ipums,0.9975,0.0025,M
202,"LARRABEE, William Henry",Democrat,75,house,1870.0,William,ipums,0.9975,0.0025,M
203,"LARRABEE, William Henry",Democrat,76,house,1870.0,William,ipums,0.9975,0.0025,M
204,"LARRABEE, William Henry",Democrat,77,house,1870.0,William,ipums,0.9975,0.0025,M
205,"BLACK, Eugene",Democrat,65,house,1879.0,Eugene,ipums,0.9911,0.0089,M
206,"BLACK, Eugene",Democrat,66,house,1879.0,Eugene,ipums,0.9911,0.0089,M
207,"BLACK, Eugene",Democrat,67,house,1879.0,Eugene,ipums,0.9911,0.0089,M
208,"BLACK, Eugene",Democrat,68,house,1879.0,Eugene,ipums,0.9911,0.0089,M
209,"BLACK, Eugene",Democrat,69,house,1879.0,Eugene,ipums,0.9911,0.0089,M
210,"BLACK, Eugene",Democrat,70,house,1879.0,Eugene,ipums,0.9911,0.0089,M
211,"BLACKMON, Fred Leonard",Democrat,65,house,1873.0,Fred,ipums,0.9994,0.0006,M
212,"BLACKMON, Fred Leonard",Democrat,66,house,1873.0,Fred,ipums,0.9994,0.0006,M
213,"BLAND, Oscar Edward",Republican,65,house,1877.0,Oscar,ipums,0.9975,0.0025,M
214,"BLAND, Oscar Edward",Republican,66,house,1877.0,Oscar,ipums,0.9975,0.0025,M
215,"BLAND, Oscar Edward",Republican,67,house,1877.0,Oscar,ipums,0.9975,0.0025,M
216,"BLAND, Schuyler Otis",Democrat,65,house,1872.0,Schuyler,ipums,1.0,0.0,M
217,"BLAND, Schuyler Otis",Democrat,66,house,1872.0,Schuyler,ipums,1.0,0.0,M
218,"BLAND, Schuyler Otis",Democrat,67,house,1872.0,Schuyler,ipums,1.0,0.0,M
219,"BLAND, Schuyler Otis",Democrat,68,house,1872.0,Schuyler,ipums,1.0,0.0,M
220,"BLAND, Schuyler Otis",Democrat,69,house,1872.0,Schuyler,ipums,1.0,0.0,M
221,"BLAND, Schuyler Otis",Democrat,70,house,1872.0,Schuyler,ipums,1.0,0.0,M
222,"BLAND, Schuyler Otis",Democrat,71,house,1872.0,Schuyler,ipums,1.0,0.0,M
223,"BLAND, Schuyler Otis",Democrat,72,house,1872.0,Schuyler,ipums,1.0,0.0,M
224,"BLAND, Schuyler Otis",Democrat,73,house,1872.0,Schuyler,ipums,1.0,0.0,M
225,"BLAND, Schuyler Otis",Democrat,74,house,1872.0,Schuyler,ipums,1.0,0.0,M
226,"BLAND, Schuyler Otis",Democrat,75,house,1872.0,Schuyler,ipums,1.0,0.0,M
227,"BLAND, Schuyler Otis",Democrat,76,house,1872.0,Schuyler,ipums,1.0,0.0,M
228,"BLAND, Schuyler Otis",Democrat,77,house,1872.0,Schuyler,ipums,1.0,0.0,M
229,"BLAND, Schuyler Otis",Democrat,78,house,1872.0,Schuyler,ipums,1.0,0.0,M
230,"BLAND, Schuyler Otis",Democrat,79,house,1872.0,Schuyler,ipums,1.0,0.0,M
231,"BLAND, Schuyler Otis",Democrat,80,house,1872.0,Schuyler,ipums,1.0,0.0,M
232,"BLAND, Schuyler Otis",Democrat,81,house,1872.0,Schuyler,ipums,1.0,0.0,M
233,"BLANTON, Thomas Lindsay",Democrat,65,house,1872.0,Thomas,ipums,0.9961,0.0039,M
234,"WILLIAMS, Thomas Sutler",Republican,65,house,1872.0,Thomas,ipums,0.9961,0.0039,M
235,"HARDWICK, Thomas William",Democrat,65,senate,1872.0,Thomas,ipums,0.9961,0.0039,M
236,"BLANTON, Thomas Lindsay",Democrat,66,house,1872.0,Thomas,ipums,0.9961,0.0039,M
237,"WILLIAMS, Thomas Sutler",Republican,66,house,1872.0,Thomas,ipums,0.9961,0.0039,M
238,"BLANTON, Thomas Lindsay",Democrat,67,house,1872.0,Thomas,ipums,0.9961,0.0039,M
239,"WILLIAMS, Thomas Sutler",Republican,67,house,1872.0,Thomas,ipums,0.9961,0.0039,M
240,"BLANTON, Thomas Lindsay",Democrat,68,house,1872.0,Thomas,ipums,0.9961,0.0039,M
241,"WILLIAMS, Thomas Sutler",Republican,68,house,1872.0,Thomas,ipums,0.9961,0.0039,M
242,"BLANTON, Thomas Lindsay",Democrat,69,house,1872.0,Thomas,ipums,0.9961,0.0039,M
243,"WILLIAMS, Thomas Sutler",Republican,69,house,1872.0,Thomas,ipums,0.9961,0.0039,M
244,"BLANTON, Thomas Lindsay",Democrat,70,house,1872.0,Thomas,ipums,0.9961,0.0039,M
245,"WILLIAMS, Thomas Sutler",Republican,70,house,1872.0,Thomas,ipums,0.9961,0.0039,M
246,"BLANTON, Thomas Lindsay",Democrat,71,house,1872.0,Thomas,ipums,0.9961,0.0039,M
247,"WILLIAMS, Thomas Sutler",Republican,71,house,1872.0,Thomas,ipums,0.9961,0.0039,M
248,"BLANTON, Thomas Lindsay",Democrat,72,house,1872.0,Thomas,ipums,0.9961,0.0039,M
249,"BLANTON, Thomas Lindsay",Democrat,73,house,1872.0,Thomas,ipums,0.9961,0.0039,M
250,"BLANTON, Thomas Lindsay",Democrat,74,house,1872.0,Thomas,ipums,0.9961,0.0039,M
251,"BOOHER, Charles Ferris",Democrat,65,house,1848.0,Charles,ipums,1.0,0.0,M
252,"BOOHER, Charles Ferris",Democrat,66,house,1848.0,Charles,ipums,1.0,0.0,M
253,"BOWERS, George Meade",Republican,65,house,1863.0,George,ipums,0.9940000000000001,0.006,M
254,"FOSS, George Edmund",Republican,65,house,1863.0,George,ipums,0.9940000000000001,0.006,M
255,"BOWERS, George Meade",Republican,66,house,1863.0,George,ipums,0.9940000000000001,0.006,M
256,"BOWERS, George Meade",Republican,67,house,1863.0,George,ipums,0.9940000000000001,0.006,M
257,"BRAND, Charles Hillyer",Democrat,65,house,1861.0,Charles,ipums,1.0,0.0,M
258,"BRAND, Charles Hillyer",Democrat,66,house,1861.0,Charles,ipums,1.0,0.0,M
259,"BRAND, Charles Hillyer",Democrat,67,house,1861.0,Charles,ipums,1.0,0.0,M
260,"BRAND, Charles Hillyer",Democrat,68,house,1861.0,Charles,ipums,1.0,0.0,M
261,"BRAND, Charles Hillyer",Democrat,69,house,1861.0,Charles,ipums,1.0,0.0,M
262,"BRAND, Charles Hillyer",Democrat,70,house,1861.0,Charles,ipums,1.0,0.0,M
263,"WATERMAN, Charles Winfield",Republican,70,senate,1861.0,Charles,ipums,1.0,0.0,M
264,"BRAND, Charles Hillyer",Democrat,71,house,1861.0,Charles,ipums,1.0,0.0,M
265,"WATERMAN, Charles Winfield",Republican,71,senate,1861.0,Charles,ipums,1.0,0.0,M
266,"BRAND, Charles Hillyer",Democrat,72,house,1861.0,Charles,ipums,1.0,0.0,M
267,"WATERMAN, Charles Winfield",Republican,72,senate,1861.0,Charles,ipums,1.0,0.0,M
268,"BRAND, Charles Hillyer",Democrat,73,house,1861.0,Charles,ipums,1.0,0.0,M
269,"BRITT, James Jefferson",Republican,65,house,1861.0,James,ipums,0.9996,0.0004,M
270,"FREAR, James Archibald",Republican,65,house,1861.0,James,ipums,0.9996,0.0004,M
271,"PHELAN, James Duval",Democrat,65,senate,1861.0,James,ipums,0.9996,0.0004,M
272,"REED, James Alexander",Democrat,65,senate,1861.0,James,ipums,0.9996,0.0004,M
273,"VARDAMAN, James Kimble",Democrat,65,senate,1861.0,James,ipums,0.9996,0.0004,M
274,"FREAR, James Archibald",Republican,66,house,1861.0,James,ipums,0.9996,0.0004,M
275,"PHELAN, James Duval",Democrat,66,senate,1861.0,James,ipums,0.9996,0.0004,M
276,"REED, James Alexander",Democrat,66,senate,1861.0,James,ipums,0.9996,0.0004,M
277,"FREAR, James Archibald",Republican,67,house,1861.0,James,ipums,0.9996,0.0004,M
278,"REED, James Alexander",Democrat,67,senate,1861.0,James,ipums,0.9996,0.0004,M
279,"FREAR, James Archibald",Republican,68,house,1861.0,James,ipums,0.9996,0.0004,M
280,"REED, James Alexander",Democrat,68,senate,1861.0,James,ipums,0.9996,0.0004,M
281,"FREAR, James Archibald",Republican,69,house,1861.0,James,ipums,0.9996,0.0004,M
282,"REED, James Alexander",Democrat,69,senate,1861.0,James,ipums,0.9996,0.0004,M
283,"BECK, James Montgomery",Republican,70,house,1861.0,James,ipums,0.9996,0.0004,M
