,first_name,last_name,party,gender,chamber,congress_number,DOB,method,proportion_male,proportion_female,predicted_gender,final_gender
160,Henry,Lodge,R,M,senate,81,1902.0,ipums,,,,M
162,Scott,Lucas,D,M,senate,81,,ipums,,,,M
163,Warren,Magnuson,D,M,senate,81,1905.0,ipums,,,,M
164,George,Malone,R,M,senate,81,1890.0,ipums,,,,M
165,Edward,Martin,R,M,senate,81,1879.0,ipums,,,,M
167,Patrick,McCarran,D,M,senate,81,1876.0,ipums,,,,M
168,Joseph,McCarthy,R,M,senate,81,1908.0,ipums,,,,M
169,John,McClellan,D,M,senate,81,1896.0,ipums,,,,M
170,Ernest,McFarland,D,M,senate,81,1894.0,ipums,,,,M
171,James,McGrath,D,M,senate,81,1903.0,ipums,,,,M
172,Kenneth,McKellar,D,M,senate,81,1869.0,ipums,,,,M
173,Brien,McMahon,D,M,senate,81,1903.0,ipums,,,,M
174,Bert,Miller,D,M,senate,81,1879.0,ipums,,,,M
175,Eugene,Millikin,R,M,senate,81,1891.0,ipums,,,,M
178,James,Murray,D,M,senate,81,1876.0,ipums,,,,M
180,Matthew,Neely,D,M,senate,81,1874.0,ipums,,,,M
181,Richard,Nixon,R,M,senate,81,1913.0,ipums,,,,M
182,Herbert,O?Conor,D,M,senate,81,1896.0,ipums,,,,M
183,Joseph,O?Mahoney,D,M,senate,81,1884.0,ipums,,,,M
184,John,Pastore,D,M,senate,81,1907.0,ipums,,,,M
185,Claude,Pepper,D,M,senate,81,1900.0,ipums,,,,M
187,Absalom,Robertson,D,M,senate,81,1887.0,ipums,,,,M
188,Richard,Russell,D,M,senate,81,1897.0,ipums,,,,M
189,Leverett,Saltonstall,R,M,senate,81,1892.0,ipums,,,,M
190,Andrew,Schoeppel,R,M,senate,81,1894.0,ipums,,,,M
191,Margaret,Smith,R,F,senate,81,1897.0,ipums,,,,F
192,Willis,Smith,D,M,senate,81,1887.0,ipums,,,,M
193,Howard,Smith,R,M,senate,81,1880.0,ipums,,,,M
194,John,Sparkman,D,M,senate,81,,ipums,,,,M
195,John,Stennis,D,M,senate,81,1901.0,ipums,,,,M
196,Robert,Taft,R,M,senate,81,1889.0,ipums,,,,M
198,Elmer,Thomas,D,M,senate,81,,ipums,,,,M
199,Elbert,Thomas,D,M,senate,81,1883.0,ipums,,,,M
200,Edward,Thye,R,M,senate,81,,ipums,,,,M
201,Charles,Tobey,R,M,senate,81,1880.0,ipums,,,,M
202,Millard,Tydings,D,M,senate,81,1890.0,ipums,,,,M
203,Arthur,Vandenberg,R,M,senate,81,1884.0,ipums,,,,M
204,Robert,Wagner,D,M,senate,81,1877.0,ipums,,,,M
205,Arthur,Watkins,R,M,senate,81,1886.0,ipums,,,,M
206,Kenneth,Wherry,R,M,senate,81,1892.0,ipums,,,,M
207,Alexander,Wiley,R,M,senate,81,1884.0,ipums,,,,M
208,John,Williams,R,M,senate,81,1904.0,ipums,,,,M
209,Garrett,Withers,D,M,senate,81,1884.0,ipums,,,,M
210,Milton,Young,R,M,senate,81,1897.0,ipums,,,,M
211,George,Aiken,R,M,senate,82,1892.0,ipums,,,,M
214,William,Benton,D,M,senate,82,1900.0,ipums,,,,M
215,Ralph,Brewster,R,M,senate,82,1888.0,ipums,,,,M
216,John,Bricker,R,M,senate,82,,ipums,,,,M
217,Henry,Bridges,R,M,senate,82,1898.0,ipums,,,,M
219,Hugh,Butler,R,M,senate,82,,ipums,,,,M
220,John,Butler,R,M,senate,82,1897.0,ipums,,,,M
221,Harry,Byrd,D,M,senate,82,1887.0,ipums,,,,M
222,Harry,Cain,R,M,senate,82,1906.0,ipums,,,,M
223,Homer,Capehart,R,M,senate,82,1897.0,ipums,,,,M
224,Frank,Carlson,R,M,senate,82,1893.0,ipums,,,,M
229,Thomas,Connally,D,M,senate,82,1877.0,ipums,,,,M
230,John,Cooper,R,M,senate,82,1901.0,ipums,,,,M
231,Guy,Cordon,R,M,senate,82,1890.0,ipums,,,,M
233,Paul,Douglas,D,M,senate,82,1892.0,ipums,,,,M
234,James,Duff,R,M,senate,82,1883.0,ipums,,,,M
235,Henry,Dworshak,R,M,senate,82,1894.0,ipums,,,,M
236,James,Eastland,D,M,senate,82,1904.0,ipums,,,,M
239,Homer,Ferguson,R,M,senate,82,1889.0,ipums,,,,M
240,Ralph,Flanders,R,M,senate,82,1880.0,ipums,,,,M
241,Joseph,Frear,D,M,senate,82,1903.0,ipums,,,,M
242,James,Fulbright,D,M,senate,82,1905.0,ipums,,,,M
243,Walter,George,D,M,senate,82,1878.0,ipums,,,,M
244,Guy,Gillette,D,M,senate,82,1879.0,ipums,,,,M
245,Theodore,Green,D,M,senate,82,1867.0,ipums,,,,M
247,Carl,Hayden,D,M,senate,82,1877.0,ipums,,,,M
248,Robert,Hendrickson,R,M,senate,82,1898.0,ipums,,,,M
249,Thomas,Hennings,D,M,senate,82,1903.0,ipums,,,,M
251,Joseph,Hill,D,M,senate,82,1894.0,ipums,,,,M
254,Hubert,Humphrey,I,M,senate,82,1911.0,ipums,,,,M
255,Lester,Hunt,D,M,senate,82,1892.0,ipums,,,,M
257,William,Jenner,R,M,senate,82,1908.0,ipums,,,,M
258,Edwin,Johnson,D,M,senate,82,1884.0,ipums,,,,M
259,Lyndon,Johnson,D,M,senate,82,,ipums,,,,M
261,Carey,Kefauver,D,M,senate,82,1903.0,ipums,,,,M
262,James,Kem,R,M,senate,82,1890.0,ipums,,,,M
263,Robert,Kerr,D,M,senate,82,1896.0,ipums,,,,M
265,William,Knowland,R,M,senate,82,1908.0,ipums,,,,M
266,Thomas,Kuchel,R,M,senate,82,1910.0,ipums,,,,M
267,William,Langer,R,M,senate,82,1886.0,ipums,,,,M
268,Herbert,Lehman,D,M,senate,82,1878.0,ipums,,,,M
269,Henry,Lodge,R,M,senate,82,1902.0,ipums,,,,M
271,Warren,Magnuson,D,M,senate,82,1905.0,ipums,,,,M
272,George,Malone,R,M,senate,82,1890.0,ipums,,,,M
273,Edward,Martin,R,M,senate,82,1879.0,ipums,,,,M
275,Patrick,McCarran,D,M,senate,82,1876.0,ipums,,,,M
276,Joseph,McCarthy,R,M,senate,82,1908.0,ipums,,,,M
277,John,McClellan,D,M,senate,82,1896.0,ipums,,,,M
278,Ernest,McFarland,D,M,senate,82,1894.0,ipums,,,,M
279,Kenneth,McKellar,D,M,senate,82,1869.0,ipums,,,,M
280,Brien,McMahon,D,M,senate,82,1903.0,ipums,,,,M
281,Eugene,Millikin,R,M,senate,82,1891.0,ipums,,,,M
283,Arthur,Moody,D,M,senate,82,1902.0,ipums,,,,M
286,James,Murray,D,M,senate,82,1876.0,ipums,,,,M
287,Matthew,Neely,D,M,senate,82,1874.0,ipums,,,,M
288,Richard,Nixon,R,M,senate,82,1913.0,ipums,,,,M
289,Herbert,O?Conor,D,M,senate,82,1896.0,ipums,,,,M
290,Joseph,O?Mahoney,D,M,senate,82,1884.0,ipums,,,,M
291,John,Pastore,D,M,senate,82,1907.0,ipums,,,,M
292,Charles,Potter,R,M,senate,82,1916.0,ipums,,,,M
293,William,Purtell,R,M,senate,82,1897.0,ipums,,,,M
294,Absalom,Robertson,D,M,senate,82,1887.0,ipums,,,,M
295,Richard,Russell,D,M,senate,82,1897.0,ipums,,,,M
296,Leverett,Saltonstall,R,M,senate,82,1892.0,ipums,,,,M
297,Andrew,Schoeppel,R,M,senate,82,1894.0,ipums,,,,M
298,Frederick,Seaton,R,M,senate,82,1909.0,ipums,,,,M
299,George,Smathers,D,M,senate,82,1913.0,ipums,,,,M
300,Howard,Smith,R,M,senate,82,1880.0,ipums,,,,M
301,Margaret,Smith,R,F,senate,82,1897.0,ipums,,,,F
302,Willis,Smith,D,M,senate,82,1887.0,ipums,,,,M
303,John,Sparkman,D,M,senate,82,,ipums,,,,M
304,John,Stennis,D,M,senate,82,1901.0,ipums,,,,M
305,Robert,Taft,R,M,senate,82,1889.0,ipums,,,,M
306,Edward,Thye,R,M,senate,82,,ipums,,,,M
307,Charles,Tobey,R,M,senate,82,1880.0,ipums,,,,M
308,Thomas,Underwood,D,M,senate,82,1898.0,ipums,,,,M
309,Arthur,Vandenberg,R,M,senate,82,1884.0,ipums,,,,M
310,Arthur,Watkins,R,M,senate,82,1886.0,ipums,,,,M
311,Herman,Welker,R,M,senate,82,1906.0,ipums,,,,M
312,Kenneth,Wherry,R,M,senate,82,1892.0,ipums,,,,M
313,Alexander,Wiley,R,M,senate,82,1884.0,ipums,,,,M
314,John,Williams,R,M,senate,82,1904.0,ipums,,,,M
315,Milton,Young,R,M,senate,82,1897.0,ipums,,,,M
316,Hazel,Abel,R,F,senate,83,1888.0,ipums,,,,F
317,George,Aiken,R,M,senate,83,1892.0,ipums,,,,M
319,Frank,Barrett,R,M,senate,83,1892.0,ipums,,,,M
320,James,Beall,R,M,senate,83,1894.0,ipums,,,,M
321,George,Bender,R,M,senate,83,1896.0,ipums,,,,M
324,Eva,Bowring,R,F,senate,83,1892.0,ipums,,,,F
325,John,Bricker,R,M,senate,83,,ipums,,,,M
326,Henry,Bridges,R,M,senate,83,1898.0,ipums,,,,M
327,Ernest,Brown,R,M,senate,83,1903.0,ipums,,,,M
328,Thomas,Burke,D,M,senate,83,1898.0,ipums,,,,M
330,John,Butler,R,M,senate,83,1897.0,ipums,,,,M
331,Hugh,Butler,R,M,senate,83,,ipums,,,,M
332,Harry,Byrd,D,M,senate,83,1887.0,ipums,,,,M
333,Homer,Capehart,R,M,senate,83,1897.0,ipums,,,,M
334,Frank,Carlson,R,M,senate,83,1893.0,ipums,,,,M
338,John,Cooper,R,M,senate,83,1901.0,ipums,,,,M
339,Guy,Cordon,R,M,senate,83,1890.0,ipums,,,,M
340,Norris,Cotton,R,M,senate,83,,ipums,,,,M
341,Edward,Crippa,R,M,senate,83,1899.0,ipums,,,,M
342,Carl,Curtis,R,M,senate,83,1905.0,ipums,,,,M
343,Charles,Daniel,D,M,senate,83,1895.0,ipums,,,,M
344,Marion,Daniel,D,M,senate,83,1910.0,ipums,,,,M
346,Paul,Douglas,D,M,senate,83,1892.0,ipums,,,,M
347,James,Duff,R,M,senate,83,1883.0,ipums,,,,M
348,Henry,Dworshak,R,M,senate,83,1894.0,ipums,,,,M
349,James,Eastland,D,M,senate,83,1904.0,ipums,,,,M
351,Joseph,Ervin,D,M,senate,83,1901.0,ipums,,,,M
352,Homer,Ferguson,R,M,senate,83,1889.0,ipums,,,,M
353,Ralph,Flanders,R,M,senate,83,1880.0,ipums,,,,M
354,Joseph,Frear,D,M,senate,83,1903.0,ipums,,,,M
355,James,Fulbright,D,M,senate,83,1905.0,ipums,,,,M
356,Walter,George,D,M,senate,83,1878.0,ipums,,,,M
357,Guy,Gillette,D,M,senate,83,1879.0,ipums,,,,M
358,Barry,Goldwater,R,M,senate,83,1909.0,ipums,,,,M
359,Albert,Gore,D,M,senate,83,1907.0,ipums,,,,M
360,Theodore,Green,D,M,senate,83,1867.0,ipums,,,,M
362,Carl,Hayden,D,M,senate,83,1877.0,ipums,,,,M
363,Robert,Hendrickson,R,M,senate,83,1898.0,ipums,,,,M
364,Thomas,Hennings,D,M,senate,83,1903.0,ipums,,,,M
366,Joseph,Hill,D,M,senate,83,1894.0,ipums,,,,M
370,Hubert,Humphrey,I,M,senate,83,1911.0,ipums,,,,M
371,Lester,Hunt,D,M,senate,83,1892.0,ipums,,,,M
373,Henry,Jackson,D,M,senate,83,1912.0,ipums,,,,M
374,William,Jenner,R,M,senate,83,1908.0,ipums,,,,M
375,Lyndon,Johnson,D,M,senate,83,,ipums,,,,M
376,Edwin,Johnson,D,M,senate,83,1884.0,ipums,,,,M
378,Carey,Kefauver,D,M,senate,83,1903.0,ipums,,,,M
379,John,Kennedy,D,M,senate,83,1917.0,ipums,,,,M
380,Robert,Kerr,D,M,senate,83,1896.0,ipums,,,,M
382,William,Knowland,R,M,senate,83,1908.0,ipums,,,,M
383,Thomas,Kuchel,R,M,senate,83,1910.0,ipums,,,,M
384,William,Langer,R,M,senate,83,1886.0,ipums,,,,M
385,Herbert,Lehman,D,M,senate,83,1878.0,ipums,,,,M
388,Warren,Magnuson,D,M,senate,83,1905.0,ipums,,,,M
389,George,Malone,R,M,senate,83,1890.0,ipums,,,,M
390,Michael,Mansfield,D,M,senate,83,1903.0,ipums,,,,M
391,Edward,Martin,R,M,senate,83,1879.0,ipums,,,,M
393,Patrick,McCarran,D,M,senate,83,1876.0,ipums,,,,M
394,Joseph,McCarthy,R,M,senate,83,1908.0,ipums,,,,M
395,John,McClellan,D,M,senate,83,1896.0,ipums,,,,M
396,Eugene,Millikin,R,M,senate,83,1891.0,ipums,,,,M
400,James,Murray,D,M,senate,83,1876.0,ipums,,,,M
401,Matthew,Neely,D,M,senate,83,1874.0,ipums,,,,M
402,Joseph,O?Mahoney,D,M,senate,83,1884.0,ipums,,,,M
403,John,Pastore,D,M,senate,83,1907.0,ipums,,,,M
404,Frederick,Payne,R,M,senate,83,1904.0,ipums,,,,M
405,Charles,Potter,R,M,senate,83,1916.0,ipums,,,,M
406,William,Purtell,R,M,senate,83,1897.0,ipums,,,,M
407,Samuel,Reynolds,R,M,senate,83,1890.0,ipums,,,,M
408,Absalom,Robertson,D,M,senate,83,1887.0,ipums,,,,M
409,Richard,Russell,D,M,senate,83,1897.0,ipums,,,,M
410,Leverett,Saltonstall,R,M,senate,83,1892.0,ipums,,,,M
411,Andrew,Schoeppel,R,M,senate,83,1894.0,ipums,,,,M
412,William,Scott,D,M,senate,83,1896.0,ipums,,,,M
413,George,Smathers,D,M,senate,83,1913.0,ipums,,,,M
414,Howard,Smith,R,M,senate,83,1880.0,ipums,,,,M
415,Margaret,Smith,R,F,senate,83,1897.0,ipums,,,,F
416,Willis,Smith,D,M,senate,83,1887.0,ipums,,,,M
417,John,Sparkman,D,M,senate,83,,ipums,,,,M
418,John,Stennis,D,M,senate,83,1901.0,ipums,,,,M
419,William,Symington,D,M,senate,83,1901.0,ipums,,,,M
420,Robert,Taft,R,M,senate,83,1889.0,ipums,,,,M
421,Strom,Thurmond,D,M,senate,83,1902.0,ipums,,,,M
422,Edward,Thye,R,M,senate,83,,ipums,,,,M
423,Charles,Tobey,R,M,senate,83,1880.0,ipums,,,,M
424,Robert,Upton,R,M,senate,83,1884.0,ipums,,,,M
425,Arthur,Watkins,R,M,senate,83,1886.0,ipums,,,,M
426,Herman,Welker,R,M,senate,83,1906.0,ipums,,,,M
427,Alexander,Wiley,R,M,senate,83,1884.0,ipums,,,,M
428,John,Williams,R,M,senate,83,1904.0,ipums,,,,M
429,Milton,Young,R,M,senate,83,1897.0,ipums,,,,M
430,George,Aiken,R,M,senate,84,1892.0,ipums,,,,M
434,Frank,Barrett,R,M,senate,84,1892.0,ipums,,,,M
435,James,Beall,R,M,senate,84,1894.0,ipums,,,,M
436,George,Bender,R,M,senate,84,1896.0,ipums,,,,M
439,John,Bricker,R,M,senate,84,,ipums,,,,M
440,Henry,Bridges,R,M,senate,84,1898.0,ipums,,,,M
442,John,Butler,R,M,senate,84,1897.0,ipums,,,,M
443,Harry,Byrd,D,M,senate,84,1887.0,ipums,,,,M
444,Homer,Capehart,R,M,senate,84,1897.0,ipums,,,,M
445,Frank,Carlson,R,M,senate,84,1893.0,ipums,,,,M
450,John,Cooper,R,M,senate,84,1901.0,ipums,,,,M
451,Norris,Cotton,R,M,senate,84,,ipums,,,,M
452,Carl,Curtis,R,M,senate,84,1905.0,ipums,,,,M
453,Marion,Daniel,D,M,senate,84,1910.0,ipums,,,,M
455,Paul,Douglas,D,M,senate,84,1892.0,ipums,,,,M
456,James,Duff,R,M,senate,84,1883.0,ipums,,,,M
457,Henry,Dworshak,R,M,senate,84,1894.0,ipums,,,,M
458,James,Eastland,D,M,senate,84,1904.0,ipums,,,,M
460,Joseph,Ervin,D,M,senate,84,1901.0,ipums,,,,M
461,Ralph,Flanders,R,M,senate,84,1880.0,ipums,,,,M
462,Joseph,Frear,D,M,senate,84,1903.0,ipums,,,,M
463,James,Fulbright,D,M,senate,84,1905.0,ipums,,,,M
464,Walter,George,D,M,senate,84,1878.0,ipums,,,,M
465,Barry,Goldwater,R,M,senate,84,1909.0,ipums,,,,M
466,Albert,Gore,D,M,senate,84,1907.0,ipums,,,,M
467,Theodore,Green,D,M,senate,84,1867.0,ipums,,,,M
468,Carl,Hayden,D,M,senate,84,1877.0,ipums,,,,M
469,Thomas,Hennings,D,M,senate,84,1903.0,ipums,,,,M
471,Joseph,Hill,D,M,senate,84,1894.0,ipums,,,,M
474,Hubert,Humphrey,I,M,senate,84,1911.0,ipums,,,,M
475,Robert,Humphreys,I,M,senate,84,1893.0,ipums,,,,M
478,Henry,Jackson,D,M,senate,84,1912.0,ipums,,,,M
479,William,Jenner,R,M,senate,84,1908.0,ipums,,,,M
480,Lyndon,Johnson,D,M,senate,84,,ipums,,,,M
482,Carey,Kefauver,D,M,senate,84,1903.0,ipums,,,,M
483,John,Kennedy,D,M,senate,84,1917.0,ipums,,,,M
484,Robert,Kerr,D,M,senate,84,1896.0,ipums,,,,M
486,William,Knowland,R,M,senate,84,1908.0,ipums,,,,M
487,Thomas,Kuchel,R,M,senate,84,1910.0,ipums,,,,M
488,William,Laird,D,M,senate,84,1916.0,ipums,,,,M
489,William,Langer,R,M,senate,84,1886.0,ipums,,,,M
490,Herbert,Lehman,D,M,senate,84,1878.0,ipums,,,,M
492,Warren,Magnuson,D,M,senate,84,1905.0,ipums,,,,M
493,George,Malone,R,M,senate,84,1890.0,ipums,,,,M
494,Michael,Mansfield,D,M,senate,84,1903.0,ipums,,,,M
495,Thomas,Martin,R,M,senate,84,1893.0,ipums,,,,M
496,Edward,Martin,R,M,senate,84,1879.0,ipums,,,,M
497,Joseph,McCarthy,R,M,senate,84,1908.0,ipums,,,,M
498,John,McClellan,D,M,senate,84,1896.0,ipums,,,,M
499,Patrick,McNamara,D,M,senate,84,1894.0,ipums,,,,M
500,Eugene,Millikin,R,M,senate,84,1891.0,ipums,,,,M
505,James,Murray,D,M,senate,84,1876.0,ipums,,,,M
506,Matthew,Neely,D,M,senate,84,1874.0,ipums,,,,M
507,Richard,Neuberger,D,M,senate,84,1912.0,ipums,,,,M
508,Joseph,O?Mahoney,D,M,senate,84,1884.0,ipums,,,,M
509,John,Pastore,D,M,senate,84,1907.0,ipums,,,,M
510,Frederick,Payne,R,M,senate,84,1904.0,ipums,,,,M
511,Charles,Potter,R,M,senate,84,1916.0,ipums,,,,M
512,William,Purtell,R,M,senate,84,1897.0,ipums,,,,M
513,William,Revercomb,R,M,senate,84,1895.0,ipums,,,,M
514,Absalom,Robertson,D,M,senate,84,1887.0,ipums,,,,M
515,Richard,Russell,D,M,senate,84,1897.0,ipums,,,,M
516,Leverett,Saltonstall,R,M,senate,84,1892.0,ipums,,,,M
517,Andrew,Schoeppel,R,M,senate,84,1894.0,ipums,,,,M
518,William,Scott,D,M,senate,84,1896.0,ipums,,,,M
519,George,Smathers,D,M,senate,84,1913.0,ipums,,,,M
520,Margaret,Smith,R,F,senate,84,1897.0,ipums,,,,F
521,Howard,Smith,R,M,senate,84,1880.0,ipums,,,,M
522,John,Sparkman,D,M,senate,84,,ipums,,,,M
523,John,Stennis,D,M,senate,84,1901.0,ipums,,,,M
524,William,Symington,D,M,senate,84,1901.0,ipums,,,,M
525,Strom,Thurmond,D,M,senate,84,1902.0,ipums,,,,M
