,full_name,party,congress_number,chamber,DOB,first_name,method,proportion_male,proportion_female,final_gender,gender,year
33,"ASHBROOK, William Albert",D,65,house,1867.0,William,ipums,0.9981,0.0019,M,,1917
34,"AYRES, William Augustus",D,65,house,1867.0,William,ipums,0.9981,0.0019,M,,1917
35,"BORLAND, William Patterson",D,65,house,1867.0,William,ipums,0.9981,0.0019,M,,1917
36,"OLIVER, William Bacon",D,65,house,1867.0,William,ipums,0.9981,0.0019,M,,1917
37,"VARE, William Scott",R,65,house,1867.0,William,ipums,0.9981,0.0019,M,,1917
38,"KIRBY, William Fosgate",D,65,senate,1867.0,William,ipums,0.9981,0.0019,M,,1917
39,"ASHBROOK, William Albert",D,66,house,1867.0,William,ipums,0.9981,0.0019,M,,1919
40,"AYRES, William Augustus",D,66,house,1867.0,William,ipums,0.9981,0.0019,M,,1919
41,"OLIVER, William Bacon",D,66,house,1867.0,William,ipums,0.9981,0.0019,M,,1919
42,"VARE, William Scott",R,66,house,1867.0,William,ipums,0.9981,0.0019,M,,1919
43,"KIRBY, William Fosgate",D,66,senate,1867.0,William,ipums,0.9981,0.0019,M,,1919
44,"OLIVER, William Bacon",D,67,house,1867.0,William,ipums,0.9981,0.0019,M,,1921
45,"VARE, William Scott",R,67,house,1867.0,William,ipums,0.9981,0.0019,M,,1921
46,"AYRES, William Augustus",D,68,house,1867.0,William,ipums,0.9981,0.0019,M,,1923
47,"OLIVER, William Bacon",D,68,house,1867.0,William,ipums,0.9981,0.0019,M,,1923
48,"SPROUL, William Henry",R,68,house,1867.0,William,ipums,0.9981,0.0019,M,,1923
49,"VARE, William Scott",R,68,house,1867.0,William,ipums,0.9981,0.0019,M,,1923
50,"AYRES, William Augustus",D,69,house,1867.0,William,ipums,0.9981,0.0019,M,,1925
51,"OLIVER, William Bacon",D,69,house,1867.0,William,ipums,0.9981,0.0019,M,,1925
52,"SPROUL, William Henry",R,69,house,1867.0,William,ipums,0.9981,0.0019,M,,1925
53,"VARE, William Scott",R,69,house,1867.0,William,ipums,0.9981,0.0019,M,,1925
54,"AYRES, William Augustus",D,70,house,1867.0,William,ipums,0.9981,0.0019,M,,1927
55,"OLIVER, William Bacon",D,70,house,1867.0,William,ipums,0.9981,0.0019,M,,1927
56,"SPROUL, William Henry",R,70,house,1867.0,William,ipums,0.9981,0.0019,M,,1927
57,"AYRES, William Augustus",D,71,house,1867.0,William,ipums,0.9981,0.0019,M,,1929
58,"OLIVER, William Bacon",D,71,house,1867.0,William,ipums,0.9981,0.0019,M,,1929
59,"SPROUL, William Henry",R,71,house,1867.0,William,ipums,0.9981,0.0019,M,,1929
60,"AYRES, William Augustus",D,72,house,1867.0,William,ipums,0.9981,0.0019,M,,1931
61,"OLIVER, William Bacon",D,72,house,1867.0,William,ipums,0.9981,0.0019,M,,1931
62,"AYRES, William Augustus",D,73,house,1867.0,William,ipums,0.9981,0.0019,M,,1933
63,"HIGGINS, William Lincoln",R,73,house,1867.0,William,ipums,0.9981,0.0019,M,,1933
64,"OLIVER, William Bacon",D,73,house,1867.0,William,ipums,0.9981,0.0019,M,,1933
65,"ASHBROOK, William Albert",D,74,house,1867.0,William,ipums,0.9981,0.0019,M,,1935
66,"HIGGINS, William Lincoln",R,74,house,1867.0,William,ipums,0.9981,0.0019,M,,1935
67,"OLIVER, William Bacon",D,74,house,1867.0,William,ipums,0.9981,0.0019,M,,1935
68,"ASHBROOK, William Albert",D,75,house,1867.0,William,ipums,0.9981,0.0019,M,,1937
69,"ASHBROOK, William Albert",D,76,house,1867.0,William,ipums,0.9981,0.0019,M,,1939
70,"ASWELL, James Benjamin",D,65,house,1869.0,James,ipums,0.9976,0.0024,M,,1917
71,"HEFLIN, James Thomas",D,65,house,1869.0,James,ipums,0.9976,0.0024,M,,1917
72,"ASWELL, James Benjamin",D,66,house,1869.0,James,ipums,0.9976,0.0024,M,,1919
73,"HEFLIN, James Thomas",D,66,senate,1869.0,James,ipums,0.9976,0.0024,M,,1919
74,"ASWELL, James Benjamin",D,67,house,1869.0,James,ipums,0.9976,0.0024,M,,1921
75,"HEFLIN, James Thomas",D,67,senate,1869.0,James,ipums,0.9976,0.0024,M,,1921
76,"ASWELL, James Benjamin",D,68,house,1869.0,James,ipums,0.9976,0.0024,M,,1923
77,"HEFLIN, James Thomas",D,68,senate,1869.0,James,ipums,0.9976,0.0024,M,,1923
78,"ASWELL, James Benjamin",D,69,house,1869.0,James,ipums,0.9976,0.0024,M,,1925
79,"HEFLIN, James Thomas",D,69,senate,1869.0,James,ipums,0.9976,0.0024,M,,1925
80,"ASWELL, James Benjamin",D,70,house,1869.0,James,ipums,0.9976,0.0024,M,,1927
81,"FITZPATRICK, James Martin",D,70,house,1869.0,James,ipums,0.9976,0.0024,M,,1927
82,"HEFLIN, James Thomas",D,70,senate,1869.0,James,ipums,0.9976,0.0024,M,,1927
83,"ASWELL, James Benjamin",D,71,house,1869.0,James,ipums,0.9976,0.0024,M,,1929
84,"FITZPATRICK, James Martin",D,71,house,1869.0,James,ipums,0.9976,0.0024,M,,1929
85,"HEFLIN, James Thomas",D,71,senate,1869.0,James,ipums,0.9976,0.0024,M,,1929
86,"ASWELL, James Benjamin",D,72,house,1869.0,James,ipums,0.9976,0.0024,M,,1931
87,"FITZPATRICK, James Martin",D,72,house,1869.0,James,ipums,0.9976,0.0024,M,,1931
88,"FITZPATRICK, James Martin",D,73,house,1869.0,James,ipums,0.9976,0.0024,M,,1933
89,"GILLESPIE, James Frank",D,73,house,1869.0,James,ipums,0.9976,0.0024,M,,1933
90,"FITZPATRICK, James Martin",D,74,house,1869.0,James,ipums,0.9976,0.0024,M,,1935
91,"FITZPATRICK, James Martin",D,75,house,1869.0,James,ipums,0.9976,0.0024,M,,1937
92,"FITZPATRICK, James Martin",D,76,house,1869.0,James,ipums,0.9976,0.0024,M,,1939
93,"FITZPATRICK, James Martin",D,77,house,1869.0,James,ipums,0.9976,0.0024,M,,1941
94,"FITZPATRICK, James Martin",D,78,house,1869.0,James,ipums,0.9976,0.0024,M,,1943
95,"GALLAGHER, James A.",R,78,house,1869.0,James,ipums,0.9976,0.0024,M,,1943
96,"GALLAGHER, James A.",R,80,house,1869.0,James,ipums,0.9976,0.0024,M,,1947
97,"AUSTIN, Richard Wilson",R,65,house,1857.0,Richard,ipums,1.0,0.0,M,,1917
98,"BACHARACH, Isaac",R,65,house,1870.0,Isaac,ipums,1.0,0.0,M,,1917
99,"BACHARACH, Isaac",R,66,house,1870.0,Isaac,ipums,1.0,0.0,M,,1919
100,"BACHARACH, Isaac",R,67,house,1870.0,Isaac,ipums,1.0,0.0,M,,1921
101,"BACHARACH, Isaac",R,68,house,1870.0,Isaac,ipums,1.0,0.0,M,,1923
102,"BACHARACH, Isaac",R,69,house,1870.0,Isaac,ipums,1.0,0.0,M,,1925
103,"BACHARACH, Isaac",R,70,house,1870.0,Isaac,ipums,1.0,0.0,M,,1927
104,"BACHARACH, Isaac",R,71,house,1870.0,Isaac,ipums,1.0,0.0,M,,1929
105,"BACHARACH, Isaac",R,72,house,1870.0,Isaac,ipums,1.0,0.0,M,,1931
106,"BACHARACH, Isaac",R,73,house,1870.0,Isaac,ipums,1.0,0.0,M,,1933
107,"BACHARACH, Isaac",R,74,house,1870.0,Isaac,ipums,1.0,0.0,M,,1935
108,"BACON, Mark Reeves",R,65,house,1852.0,Mark,ipums,0.9878,0.0122,M,,1917
109,"BAER, John Miller",R,65,house,1886.0,John,ipums,0.9972,0.0028,M,,1917
110,"BAER, John Miller",R,66,house,1886.0,John,ipums,0.9972,0.0028,M,,1919
111,"RAY, John Henry",R,83,house,1886.0,John,ipums,0.9972,0.0028,M,,1953
112,"RAY, John Henry",R,84,house,1886.0,John,ipums,0.9972,0.0028,M,,1955
113,"RAY, John Henry",R,85,house,1886.0,John,ipums,0.9972,0.0028,M,,1957
114,"RAY, John Henry",R,86,house,1886.0,John,ipums,0.9972,0.0028,M,,1959
115,"RAY, John Henry",R,87,house,1886.0,John,ipums,0.9972,0.0028,M,,1961
116,"BANKHEAD, William Brockman",D,65,house,1874.0,William,ipums,0.999,0.001,M,,1917
117,"FIELDS, William Jason",D,65,house,1874.0,William,ipums,0.999,0.001,M,,1917
118,"OLDFIELD, William Allan",D,65,house,1874.0,William,ipums,0.999,0.001,M,,1917
119,"SEARS, William Joseph",D,65,house,1874.0,William,ipums,0.999,0.001,M,,1917
120,"BANKHEAD, William Brockman",D,66,house,1874.0,William,ipums,0.999,0.001,M,,1919
121,"FIELDS, William Jason",D,66,house,1874.0,William,ipums,0.999,0.001,M,,1919
122,"OLDFIELD, William Allan",D,66,house,1874.0,William,ipums,0.999,0.001,M,,1919
123,"SEARS, William Joseph",D,66,house,1874.0,William,ipums,0.999,0.001,M,,1919
124,"BANKHEAD, William Brockman",D,67,house,1874.0,William,ipums,0.999,0.001,M,,1921
125,"FIELDS, William Jason",D,67,house,1874.0,William,ipums,0.999,0.001,M,,1921
126,"LOGAN, William Turner",D,67,house,1874.0,William,ipums,0.999,0.001,M,,1921
127,"OLDFIELD, William Allan",D,67,house,1874.0,William,ipums,0.999,0.001,M,,1921
128,"SEARS, William Joseph",D,67,house,1874.0,William,ipums,0.999,0.001,M,,1921
129,"BANKHEAD, William Brockman",D,68,house,1874.0,William,ipums,0.999,0.001,M,,1923
130,"FIELDS, William Jason",D,68,house,1874.0,William,ipums,0.999,0.001,M,,1923
131,"LOGAN, William Turner",D,68,house,1874.0,William,ipums,0.999,0.001,M,,1923
132,"OLDFIELD, William Allan",D,68,house,1874.0,William,ipums,0.999,0.001,M,,1923
133,"SEARS, William Joseph",D,68,house,1874.0,William,ipums,0.999,0.001,M,,1923
134,"BANKHEAD, William Brockman",D,69,house,1874.0,William,ipums,0.999,0.001,M,,1925
135,"OLDFIELD, William Allan",D,69,house,1874.0,William,ipums,0.999,0.001,M,,1925
136,"SEARS, William Joseph",D,69,house,1874.0,William,ipums,0.999,0.001,M,,1925
137,"BANKHEAD, William Brockman",D,70,house,1874.0,William,ipums,0.999,0.001,M,,1927
138,"COHEN, William Wolfe",D,70,house,1874.0,William,ipums,0.999,0.001,M,,1927
139,"OLDFIELD, William Allan",D,70,house,1874.0,William,ipums,0.999,0.001,M,,1927
140,"SEARS, William Joseph",D,70,house,1874.0,William,ipums,0.999,0.001,M,,1927
141,"BANKHEAD, William Brockman",D,71,house,1874.0,William,ipums,0.999,0.001,M,,1929
142,"NOLAN, William Ignatius",R,71,house,1874.0,William,ipums,0.999,0.001,M,,1929
143,"BANKHEAD, William Brockman",D,72,house,1874.0,William,ipums,0.999,0.001,M,,1931
144,"NOLAN, William Ignatius",R,72,house,1874.0,William,ipums,0.999,0.001,M,,1931
145,"BANKHEAD, William Brockman",D,73,house,1874.0,William,ipums,0.999,0.001,M,,1933
146,"SEARS, William Joseph",D,73,house,1874.0,William,ipums,0.999,0.001,M,,1933
147,"BANKHEAD, William Brockman",D,74,house,1874.0,William,ipums,0.999,0.001,M,,1935
148,"SEARS, William Joseph",D,74,house,1874.0,William,ipums,0.999,0.001,M,,1935
149,"BANKHEAD, William Brockman",D,75,house,1874.0,William,ipums,0.999,0.001,M,,1937
150,"BANKHEAD, William Brockman",D,76,house,1874.0,William,ipums,0.999,0.001,M,,1939
151,"BARKLEY, Alben William",D,65,house,1877.0,Alben,ipums,1.0,0.0,M,,1917
152,"BARKLEY, Alben William",D,66,house,1877.0,Alben,ipums,1.0,0.0,M,,1919
153,"BARKLEY, Alben William",D,67,house,1877.0,Alben,ipums,1.0,0.0,M,,1921
154,"BARKLEY, Alben William",D,68,house,1877.0,Alben,ipums,1.0,0.0,M,,1923
155,"BARKLEY, Alben William",D,69,house,1877.0,Alben,ipums,1.0,0.0,M,,1925
156,"BARKLEY, Alben William",D,70,senate,1877.0,Alben,ipums,1.0,0.0,M,,1927
157,"BARKLEY, Alben William",D,71,senate,1877.0,Alben,ipums,1.0,0.0,M,,1929
158,"BARKLEY, Alben William",D,72,senate,1877.0,Alben,ipums,1.0,0.0,M,,1931
159,"BARKLEY, Alben William",D,73,senate,1877.0,Alben,ipums,1.0,0.0,M,,1933
160,"BARKLEY, Alben William",D,74,senate,1877.0,Alben,ipums,1.0,0.0,M,,1935
161,"BARKLEY, Alben William",D,75,senate,1877.0,Alben,ipums,1.0,0.0,M,,1937
162,"BARKLEY, Alben William",D,76,senate,1877.0,Alben,ipums,1.0,0.0,M,,1939
163,"BARKLEY, Alben William",D,77,senate,1877.0,Alben,ipums,1.0,0.0,M,,1941
164,"BARKLEY, Alben William",D,78,senate,1877.0,Alben,ipums,1.0,0.0,M,,1943
165,"BARKLEY, Alben William",D,79,senate,1877.0,Alben,ipums,1.0,0.0,M,,1945
166,"BARNHART, Henry A.",D,65,house,1858.0,Henry,ipums,0.9994,0.0006,M,,1917
167,"BATHRICK, Elsworth Raymond",D,65,house,1863.0,Elsworth,ipums,1.0,0.0,M,,1917
168,"BEAKES, Samuel Willard",D,65,house,1861.0,Samuel,ipums,0.9993,0.0007,M,,1917
169,"SHORTRIDGE, Samuel Morgan",R,67,senate,1861.0,Samuel,ipums,0.9993,0.0007,M,,1921
170,"SHORTRIDGE, Samuel Morgan",R,68,senate,1861.0,Samuel,ipums,0.9993,0.0007,M,,1923
171,"SHORTRIDGE, Samuel Morgan",R,69,senate,1861.0,Samuel,ipums,0.9993,0.0007,M,,1925
172,"SHORTRIDGE, Samuel Morgan",R,70,senate,1861.0,Samuel,ipums,0.9993,0.0007,M,,1927
173,"SHORTRIDGE, Samuel Morgan",R,71,senate,1861.0,Samuel,ipums,0.9993,0.0007,M,,1929
174,"SHORTRIDGE, Samuel Morgan",R,72,senate,1861.0,Samuel,ipums,0.9993,0.0007,M,,1931
175,"BELL, Thomas Montgomery",D,65,house,1861.0,Thomas,ipums,0.9994,0.0006,M,,1917
176,"BELL, Thomas Montgomery",D,66,house,1861.0,Thomas,ipums,0.9994,0.0006,M,,1919
177,"BELL, Thomas Montgomery",D,67,house,1861.0,Thomas,ipums,0.9994,0.0006,M,,1921
178,"BELL, Thomas Montgomery",D,68,house,1861.0,Thomas,ipums,0.9994,0.0006,M,,1923
179,"BELL, Thomas Montgomery",D,69,house,1861.0,Thomas,ipums,0.9994,0.0006,M,,1925
180,"BELL, Thomas Montgomery",D,70,house,1861.0,Thomas,ipums,0.9994,0.0006,M,,1927
181,"BELL, Thomas Montgomery",D,71,house,1861.0,Thomas,ipums,0.9994,0.0006,M,,1929
182,"BENSON, Carville Dickinson",D,65,house,1872.0,Carville,ipums,,,,,1917
183,"BENSON, Carville Dickinson",D,66,house,1872.0,Carville,ipums,,,,,1919
184,"BESHLIN, Earl Hanley",D,65,house,1870.0,Earl,ipums,1.0,0.0,M,,1917
185,"BIRCH, William Fred",R,65,house,1870.0,William,ipums,0.9975,0.0025,M,,1917
186,"POLLOCK, William Pegues",D,65,senate,1870.0,William,ipums,0.9975,0.0025,M,,1917
187,"BOWLING, William Bismarck",D,66,house,1870.0,William,ipums,0.9975,0.0025,M,,1919
188,"BOWLING, William Bismarck",D,67,house,1870.0,William,ipums,0.9975,0.0025,M,,1921
189,"MORGAN, William Mitchell",R,67,house,1870.0,William,ipums,0.9975,0.0025,M,,1921
190,"CROW, William Evans",R,67,senate,1870.0,William,ipums,0.9975,0.0025,M,,1921
191,"BOWLING, William Bismarck",D,68,house,1870.0,William,ipums,0.9975,0.0025,M,,1923
192,"MORGAN, William Mitchell",R,68,house,1870.0,William,ipums,0.9975,0.0025,M,,1923
193,"WILSON, William Edward",D,68,house,1870.0,William,ipums,0.9975,0.0025,M,,1923
194,"BOWLING, William Bismarck",D,69,house,1870.0,William,ipums,0.9975,0.0025,M,,1925
195,"MORGAN, William Mitchell",R,69,house,1870.0,William,ipums,0.9975,0.0025,M,,1925
196,"BOWLING, William Bismarck",D,70,house,1870.0,William,ipums,0.9975,0.0025,M,,1927
197,"MORGAN, William Mitchell",R,70,house,1870.0,William,ipums,0.9975,0.0025,M,,1927
198,"MORGAN, William Mitchell",R,71,house,1870.0,William,ipums,0.9975,0.0025,M,,1929
199,"LARRABEE, William Henry",D,72,house,1870.0,William,ipums,0.9975,0.0025,M,,1931
200,"LARRABEE, William Henry",D,73,house,1870.0,William,ipums,0.9975,0.0025,M,,1933
201,"LARRABEE, William Henry",D,74,house,1870.0,William,ipums,0.9975,0.0025,M,,1935
202,"LARRABEE, William Henry",D,75,house,1870.0,William,ipums,0.9975,0.0025,M,,1937
203,"LARRABEE, William Henry",D,76,house,1870.0,William,ipums,0.9975,0.0025,M,,1939
204,"LARRABEE, William Henry",D,77,house,1870.0,William,ipums,0.9975,0.0025,M,,1941
205,"BLACK, Eugene",D,65,house,1879.0,Eugene,ipums,0.9911,0.0089,M,,1917
206,"BLACK, Eugene",D,66,house,1879.0,Eugene,ipums,0.9911,0.0089,M,,1919
207,"BLACK, Eugene",D,67,house,1879.0,Eugene,ipums,0.9911,0.0089,M,,1921
208,"BLACK, Eugene",D,68,house,1879.0,Eugene,ipums,0.9911,0.0089,M,,1923
209,"BLACK, Eugene",D,69,house,1879.0,Eugene,ipums,0.9911,0.0089,M,,1925
210,"BLACK, Eugene",D,70,house,1879.0,Eugene,ipums,0.9911,0.0089,M,,1927
211,"BLACKMON, Fred Leonard",D,65,house,1873.0,Fred,ipums,0.9994,0.0006,M,,1917
212,"BLACKMON, Fred Leonard",D,66,house,1873.0,Fred,ipums,0.9994,0.0006,M,,1919
213,"BLAND, Oscar Edward",R,65,house,1877.0,Oscar,ipums,0.9975,0.0025,M,,1917
214,"BLAND, Oscar Edward",R,66,house,1877.0,Oscar,ipums,0.9975,0.0025,M,,1919
215,"BLAND, Oscar Edward",R,67,house,1877.0,Oscar,ipums,0.9975,0.0025,M,,1921
216,"BLAND, Schuyler Otis",D,65,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1917
217,"BLAND, Schuyler Otis",D,66,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1919
218,"BLAND, Schuyler Otis",D,67,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1921
219,"BLAND, Schuyler Otis",D,68,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1923
220,"BLAND, Schuyler Otis",D,69,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1925
221,"BLAND, Schuyler Otis",D,70,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1927
222,"BLAND, Schuyler Otis",D,71,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1929
223,"BLAND, Schuyler Otis",D,72,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1931
224,"BLAND, Schuyler Otis",D,73,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1933
225,"BLAND, Schuyler Otis",D,74,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1935
226,"BLAND, Schuyler Otis",D,75,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1937
227,"BLAND, Schuyler Otis",D,76,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1939
228,"BLAND, Schuyler Otis",D,77,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1941
229,"BLAND, Schuyler Otis",D,78,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1943
230,"BLAND, Schuyler Otis",D,79,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1945
231,"BLAND, Schuyler Otis",D,80,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1947
232,"BLAND, Schuyler Otis",D,81,house,1872.0,Schuyler,ipums,1.0,0.0,M,,1949
233,"BLANTON, Thomas Lindsay",D,65,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1917
234,"WILLIAMS, Thomas Sutler",R,65,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1917
235,"HARDWICK, Thomas William",D,65,senate,1872.0,Thomas,ipums,0.9961,0.0039,M,,1917
236,"BLANTON, Thomas Lindsay",D,66,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1919
237,"WILLIAMS, Thomas Sutler",R,66,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1919
238,"BLANTON, Thomas Lindsay",D,67,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1921
239,"WILLIAMS, Thomas Sutler",R,67,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1921
240,"BLANTON, Thomas Lindsay",D,68,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1923
241,"WILLIAMS, Thomas Sutler",R,68,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1923
242,"BLANTON, Thomas Lindsay",D,69,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1925
243,"WILLIAMS, Thomas Sutler",R,69,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1925
244,"BLANTON, Thomas Lindsay",D,70,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1927
245,"WILLIAMS, Thomas Sutler",R,70,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1927
246,"BLANTON, Thomas Lindsay",D,71,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1929
247,"WILLIAMS, Thomas Sutler",R,71,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1929
248,"BLANTON, Thomas Lindsay",D,72,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1931
249,"BLANTON, Thomas Lindsay",D,73,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1933
250,"BLANTON, Thomas Lindsay",D,74,house,1872.0,Thomas,ipums,0.9961,0.0039,M,,1935
251,"BOOHER, Charles Ferris",D,65,house,1848.0,Charles,ipums,1.0,0.0,M,,1917
252,"BOOHER, Charles Ferris",D,66,house,1848.0,Charles,ipums,1.0,0.0,M,,1919
253,"BOWERS, George Meade",R,65,house,1863.0,George,ipums,0.994,0.006,M,,1917
254,"FOSS, George Edmund",R,65,house,1863.0,George,ipums,0.994,0.006,M,,1917
255,"BOWERS, George Meade",R,66,house,1863.0,George,ipums,0.994,0.006,M,,1919
256,"BOWERS, George Meade",R,67,house,1863.0,George,ipums,0.994,0.006,M,,1921
257,"BRAND, Charles Hillyer",D,65,house,1861.0,Charles,ipums,1.0,0.0,M,,1917
258,"BRAND, Charles Hillyer",D,66,house,1861.0,Charles,ipums,1.0,0.0,M,,1919
259,"BRAND, Charles Hillyer",D,67,house,1861.0,Charles,ipums,1.0,0.0,M,,1921
260,"BRAND, Charles Hillyer",D,68,house,1861.0,Charles,ipums,1.0,0.0,M,,1923
261,"BRAND, Charles Hillyer",D,69,house,1861.0,Charles,ipums,1.0,0.0,M,,1925
262,"BRAND, Charles Hillyer",D,70,house,1861.0,Charles,ipums,1.0,0.0,M,,1927
263,"WATERMAN, Charles Winfield",R,70,senate,1861.0,Charles,ipums,1.0,0.0,M,,1927
264,"BRAND, Charles Hillyer",D,71,house,1861.0,Charles,ipums,1.0,0.0,M,,1929
265,"WATERMAN, Charles Winfield",R,71,senate,1861.0,Charles,ipums,1.0,0.0,M,,1929
266,"BRAND, Charles Hillyer",D,72,house,1861.0,Charles,ipums,1.0,0.0,M,,1931
267,"WATERMAN, Charles Winfield",R,72,senate,1861.0,Charles,ipums,1.0,0.0,M,,1931
268,"BRAND, Charles Hillyer",D,73,house,1861.0,Charles,ipums,1.0,0.0,M,,1933
269,"BRITT, James Jefferson",R,65,house,1861.0,James,ipums,0.9996,0.0004,M,,1917
270,"FREAR, James Archibald",R,65,house,1861.0,James,ipums,0.9996,0.0004,M,,1917
271,"PHELAN, James Duval",D,65,senate,1861.0,James,ipums,0.9996,0.0004,M,,1917
272,"REED, James Alexander",D,65,senate,1861.0,James,ipums,0.9996,0.0004,M,,1917
273,"VARDAMAN, James Kimble",D,65,senate,1861.0,James,ipums,0.9996,0.0004,M,,1917
274,"FREAR, James Archibald",R,66,house,1861.0,James,ipums,0.9996,0.0004,M,,1919
275,"PHELAN, James Duval",D,66,senate,1861.0,James,ipums,0.9996,0.0004,M,,1919
276,"REED, James Alexander",D,66,senate,1861.0,James,ipums,0.9996,0.0004,M,,1919
277,"FREAR, James Archibald",R,67,house,1861.0,James,ipums,0.9996,0.0004,M,,1921
278,"REED, James Alexander",D,67,senate,1861.0,James,ipums,0.9996,0.0004,M,,1921
279,"FREAR, James Archibald",R,68,house,1861.0,James,ipums,0.9996,0.0004,M,,1923
